,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,PER AKS,CPD AKS,CPD HPO,diff PER,diff HPO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,simul_noisy_1cp_1,1343.28125,1507.046875,735.75,12.1914621379551,104.83137954468228
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,simul_noisy_1cp_2,1364.828125,798.828125,373.34375,-41.47042324468512,113.96584916715496
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,simul_noisy_1cp_3,1272.15625,1164.59375,560.890625,-8.455132771622987,107.6329498286765
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,simul_noisy_1cp_4,1172.25,1327.75,701.71875,13.265088505011736,89.21398352260074
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,simul_noisy_2cp_1,1495.53125,1880.09375,1066.28125,25.71410660927347,76.32249934058204
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,simul_noisy_2cp_2,1461.78125,2057.046875,385.140625,40.721935994185166,434.1028033591626
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,simul_noisy_2cp_3,1074.78125,1214.703125,1037.015625,13.018637513447494,17.13450556735825
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,simul_noisy_2cp_4,1106.828125,1148.171875,761.34375,3.73533605319254,50.80860320978533
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,simul_varnoise_1cp_1,1416.171875,1670.046875,856.875,17.926849451095062,94.899708242159
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,simul_varnoise_1cp_2,997.09375,1522.6875,372.53125,52.71257090920487,308.7408774431675
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,simul_varnoise_1cp_3,1237.4375,1896.578125,555.640625,53.26657912015757,241.331796068727
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,simul_varnoise_1cp_4,1062.921875,1068.671875,554.71875,0.5409616769811887,92.65111824685933
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,simul_varnoise_2cp_1,1369.59375,1422.609375,1334.484375,3.8709014990759183,6.603674171906282
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,simul_varnoise_2cp_2,1862.796875,1719.734375,604.5,-7.6799838951844945,184.48873035566584
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,simul_varnoise_2cp_3,1113.171875,1165.8125,415.3125,4.728885644905456,180.70729872084272
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,simul_varnoise_2cp_4,1109.890625,818.21875,645.578125,-26.279334956991818,26.742019023646435
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_1,1412.671875,544.21875,541.234375,-61.47592660185155,0.5514015993533405
17,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_2,1339.96875,863.953125,731.8125,-35.52438256489191,18.05662311042788
18,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_3,1591.359375,1399.890625,621.6875,-12.031773149920957,125.17593244194228
19,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_4,1256.390625,997.234375,564.28125,-20.627044236341707,76.72647726643407
20,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_1,1922.53125,1251.078125,1389.5625,-34.92547260285106,-9.96604146988711
21,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_2,1410.875,1400.328125,443.328125,-0.7475414193319763,215.8671976879428
22,22.0,,,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_3,1764.96875,1808.390625,1236.625,2.460206448414448,46.23597493176994
23,,,,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_4,1099.921875,1409.734375,563.390625,28.166773208324457,150.22325761987963
