,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,PER AKS,CPD AKS,CPD HPO,diff PER,diff HPO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,simul_noisy_1cp_1,0.1849455843356812,0.1893633434703086,0.1890819990709014,2.3886805140527434,0.1487949147934264
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,simul_noisy_1cp_2,0.5487092044613536,0.4844856555804182,0.4863970483252584,-11.704478138649266,-0.3929696430974405
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,simul_noisy_1cp_3,0.3445262426348831,0.3459680055580778,0.3630513301584687,0.4184769532121102,-4.705484646739688
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,simul_noisy_1cp_4,0.0897945885065161,0.0955766520613458,0.1481005261841303,6.439211595039573,-35.46501520020438
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,simul_noisy_2cp_1,0.2152505910561419,0.1294333947080906,0.1664532878350534,-39.86850671442215,-22.24040967196009
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,simul_noisy_2cp_2,0.4100955500149594,0.2642709671604026,0.2599617685837563,-35.55868451858045,1.6576278120134402
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,simul_noisy_2cp_3,0.1141708893891558,0.1088545354456885,0.1648957421318362,-4.6564881572800365,-33.985842182232965
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,simul_noisy_2cp_4,0.1227001132470303,0.1141106819853004,0.1332892734655511,-7.000345015523212,-14.388698341286576
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,simul_varnoise_1cp_1,0.1111394219722123,0.1114281002611584,0.1124153465769494,0.2597442777939607,-0.878213114003279
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,simul_varnoise_1cp_2,0.4243145961356016,0.2969015997781403,0.2979970937829623,-30.02795508753672,-0.3676190230297638
