,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,PER AKS,CPD AKS,CPD HPO,diff PER,diff HPO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,simul_noisy_1cp_1,1348.421875,1306.78125,735.03125,-3.0881006732407124,77.78580842651249
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,simul_noisy_1cp_2,1429.71875,1034.890625,366.25,-27.615789818801773,182.5639931740614
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,simul_noisy_1cp_3,1250.109375,919.109375,548.765625,-26.47768320271976,67.4866888756015
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,simul_noisy_1cp_4,1191.484375,1458.59375,700.765625,22.41820208510916,108.14287943989834
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,simul_noisy_2cp_1,1672.84375,1264.6875,1058.375,-24.39894640488689,19.493327034368725
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,simul_noisy_2cp_2,1454.71875,1144.21875,377.15625,-21.34433202294258,203.3805617698236
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,simul_noisy_2cp_3,1070.9375,1665.765625,969.15625,55.54274875984826,71.87792216167415
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,simul_noisy_2cp_4,799.140625,1058.296875,511.765625,32.42936748460261,106.79327084541872
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,simul_varnoise_1cp_1,1555.578125,1490.8125,848.84375,-4.163444057173282,75.62861245076023
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,simul_varnoise_1cp_2,1050.28125,1203.0625,372.171875,14.546698800916412,223.2545446912129
